valid_time,latitude,longitude,swvl1,swvl2,swvl3,swvl4,stl1,stl2,stl3,stl4,number,expver,fecha_actualizacion
2025-10-17,13.500000000000002,-89.30000000000004,0.42573547,0.427063,0.4169922,0.38165283,298.86597,299.56165,299.44946,300.54602,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.500000000000002,-89.20000000000005,0.45263672,0.45765686,0.4482422,0.46516418,299.51245,300.14172,300.04907,301.1515,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.500000000000002,-89.10000000000005,0.42085266,0.4570923,0.463089,0.46644592,299.64136,300.3722,300.26782,301.4054,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.500000000000002,-89.0,0.43710327,0.46678162,0.46647644,0.46061707,299.45386,300.19836,300.11157,301.26086,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.400000000000002,-90.0,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.400000000000002,-89.9,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.400000000000002,-89.80000000000001,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.400000000000002,-89.70000000000002,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.400000000000002,-89.60000000000002,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.400000000000002,-89.50000000000003,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.400000000000002,-89.40000000000003,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.400000000000002,-89.30000000000004,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.400000000000002,-89.20000000000005,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.400000000000002,-89.10000000000005,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.400000000000002,-89.0,0.44535828,0.5074158,0.5098572,0.44226074,300.38354,301.01282,301.1018,302.38586,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.300000000000002,-90.0,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.300000000000002,-89.9,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.300000000000002,-89.80000000000001,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.300000000000002,-89.70000000000002,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.300000000000002,-89.60000000000002,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.300000000000002,-89.50000000000003,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.300000000000002,-89.40000000000003,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.300000000000002,-89.30000000000004,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.300000000000002,-89.20000000000005,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.300000000000002,-89.10000000000005,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.300000000000002,-89.0,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.200000000000003,-90.0,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.200000000000003,-89.9,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.200000000000003,-89.80000000000001,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.200000000000003,-89.70000000000002,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.200000000000003,-89.60000000000002,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.200000000000003,-89.50000000000003,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.200000000000003,-89.40000000000003,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.200000000000003,-89.30000000000004,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.200000000000003,-89.20000000000005,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.200000000000003,-89.10000000000005,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.200000000000003,-89.0,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.100000000000003,-90.0,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.100000000000003,-89.9,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.100000000000003,-89.80000000000001,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.100000000000003,-89.70000000000002,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.100000000000003,-89.60000000000002,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.100000000000003,-89.50000000000003,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.100000000000003,-89.40000000000003,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.100000000000003,-89.30000000000004,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.100000000000003,-89.20000000000005,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.100000000000003,-89.10000000000005,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.100000000000003,-89.0,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.0,-90.0,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.0,-89.9,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.0,-89.80000000000001,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.0,-89.70000000000002,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.0,-89.60000000000002,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.0,-89.50000000000003,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.0,-89.40000000000003,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.0,-89.30000000000004,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.0,-89.20000000000005,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.0,-89.10000000000005,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.0,-89.0,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
